1761265360,608,446.4105377,,Metrics,Value,Rounded,Simulated,% Change
1761280934,1940864,873.9619141,,,,,,
1761280968,1943180,484.8990723,,,,,,
1761280979,1945184,0,,,,,,
1761280980,1945252,522.1156876,,,,,,
1761280998,1948372,348.417984,,,,,,
1761280999,1948492,369.6668472,,,,,,
1761281040,1952028,61.95334625,,,,,,
1761281047,1953552,559.3356323,,,,,,
1761281049,1953784,154.9187279,,,,,,
1761281102,1960424,629.5456543,,,,,,
1761281114,1962820,575.9711304,,,,,,
1761281159,1966568,500.2087631,,,,,,
1761281177,1969976,415.352417,,,,,,
1761281237,1976900,481.1256348,,,,,,
1761281244,1978128,641.9823608,,,,,,
1761281262,1981568,529.9068253,,,,,,
1761281301,1984396,384.4442139,,,,,,
1761281311,1986128,666.9701538,,,,,,
1761281318,1987452,291.2637177,,,,,,
1761281386,1996580,478.9372726,,,,,,
1761281426,1999892,513.7697998,,,,,,
1761281496,2009644,331.8839951,,,,,,
1761281508,2012088,0,,,,,,
1761281575,2020720,416.7358704,,,,,,
1761281619,2024936,697.3513794,,,,,,
1761281628,2026656,424.4195587,,,,,,
1761281629,2026800,52.96396637,,,,,,
1761281687,2033484,563.4646606,,,,,,
1761281709,2037448,582.5883179,,,,,,
1761281710,2037716,0,,,,,,
1761281750,2041028,0,,,,,,
1761281757,2042392,532.1914063,,,,,,
1761281760,2043000,77.10727501,,,,,,
1761281815,2048900,543.8924088,,,,,,
1761281895,2059652,0,,,,,,
1761281947,2064700,584.2111206,,,,,,
1761281956,2066468,770.3181763,,,,,,
1761281987,2072140,0,,,,,,
1761282021,2074376,703.9550781,,,,,,
1761282039,2077516,0,,,,,,
1761282110,2086572,638.1757202,,,,,,
1761282158,2091212,535.2231445,,,,,,
1761282161,2091816,466.1753082,,,,,,
1761282228,2100084,530.5110474,,,,,,
1761282250,2104220,503.5983643,,,,,,
1761282282,2105696,565.4533646,,,,,,
1761282289,2107532,116.9639053,,,,,,
1761282295,2108344,410.6166687,,,,,,
1761282305,2110284,592.6148682,,,,,,
1761282315,2112048,328.7389526,,,,,,
1761282356,2115484,316.3375397,,,,,,
1761282358,2115832,72.53276825,,,,,,
1761282379,2119620,131.3734818,,,,,,
1761282429,2125108,247.4631729,,,,,,
1761282455,2129688,0,,,,,,
1761282485,2131020,183.7627716,,,,,,
1761282492,2132448,590.8946533,,,,,,
1761282551,2139288,634.9718628,,,,,,
1761282555,2140128,683.6121826,,,,,,
1761282619,2147688,560.3348999,,,,,,
1761282653,2153840,728.430481,,,,,,
1761282706,2159092,0,,,,,,
1761282769,2166572,623.2391357,,,,,,
1761282774,2167596,237.1840439,,,,,,
1761282783,2169108,699.4077148,,,,,,
1761282783,2169172,225.180542,,,,,,
1761282850,2177044,456.2148056,,,,,,
1761282855,2177992,652.0543213,,,,,,
1761282856,2178224,230.7973022,,,,,,
