StepV,ValueV,StepF,ValueF,StepL,ValueL
9274944,428.5541382,10258592,402.4977112,12153248,818.0157471
9372112,193.0162582,10277664,95.00091553,12214032,210.6641388
9428176,242.0969788,10359184,15.79943275,12270288,583.6937866
9463552,478.9722656,10376304,380.8479309,12292032,512.7817383
9479728,220.7629578,10402464,403.8952637,12365456,801.9726563
9486160,406.1111572,10464272,565.1605225,12382640,706.8167114
9496656,248.6268127,10468656,456.3875427,12386352,450.6295166
9516800,177.0114853,10495328,0,12451984,369.5232849
9526656,150.7875595,10506336,499.1825867,12471504,593.7492065
9551632,26.30015717,10519808,580.3151245,12501136,607.6956177
9617856,0,10532976,206.3698425,12523232,327.7990417
9680752,62.16228561,10545008,466.8190308,12565008,381.360321
9690016,387.7394623,10551360,144.7303314,12619792,620.5249634
9715968,462.6436707,10552384,580.2497559,12667696,260.8293457
9724016,397.4626373,10593696,455.692749,12688224,660.3834839
9760944,385.81474,10629760,136.6654663,12750896,101.707634
9790176,147.7236649,10635168,43.18910599,12794448,51.39836121
9807488,185.0898285,10711600,87.85528564,12826000,872.3105469
9816480,99.11781464,10723360,665.2392578,12860400,0
9843744,215.1578293,10745680,32.45069504,12878000,489.7510071
9862496,173.8370682,10799248,368.8328857,12899104,446.1847534
9900928,68.30980225,10833712,503.2831116,12915696,423.6826477
9910960,100.7233704,10847456,3.556310415,12938400,364.5146484
9961616,206.5466629,10852896,141.5993347,12946512,587.4840088
10020272,319.6480682,10888016,185.5635529,12998160,389.9678345
10040656,415.7614655,10892144,356.4462585,13056592,239.7258606
10042304,293.6572723,10932976,230.5258789,13094240,64.53105164
10105728,421.2006866,10960592,137.1551666,13161136,46.12416077
10115824,0,11003456,454.1794128,13200016,527.8261719
10117392,73.92523727,11016160,136.8032379,13241136,736.267395
10123552,31.43833237,11110480,288.9177856,13247872,71.47584534
10215888,162.772435,11142128,297.4565125,13271408,492.3675537
10255392,0,11158192,0,13311984,535.3404541
10290208,0,11164528,400.8276978,13321904,639.4464722
10358432,46.40204773,11262032,37.42245865,13388784,508.2727051
10388592,165.9738922,11267760,23.04739189,13396880,77.45936584
10394448,470.4572021,11295328,656.7402954,13435136,744.6299438
10401520,201.7974792,11324384,394.7723694,13464064,475.560791
10432912,259.7795013,11336688,530.1125488,13512800,286.8891296
10434224,240.0509674,11360720,354.7521057,13527584,385.901825
10480784,231.3991791,11381744,37.48862076,13564784,584.4830322
10541296,82.91780777,11404368,512.2294922,13579600,0
10580624,50.62187576,11463744,267.0050049,13631248,735.5490723
10597088,478.8348816,11483632,109.2663498,13670176,63.45565796
10698752,184.9373795,11554736,141.0694427,13700592,71.57637787
10710032,39.63311348,11583264,103.1723709,13715840,427.6538086
10735792,545.4157104,11606624,323.1162109,13776304,328.7519531
10756016,513.6906555,11633040,8.461704254,13838992,25.09247017
10758320,0,11635312,90.45571136,13862672,764.6428223
10786144,585.6249023,11656160,62.65411377,13875136,53.7636528
10804224,133.2967758,11664432,407.0262451,13889472,135.1143036
10868080,326.5174347,11682656,489.3713989,13914912,595.8171387
10892384,36.87071457,11683392,239.3453369,13952496,580.6611328
10960672,424.090036,11688160,179.4268494,13981376,680.2446289
10976304,86.99282913,11721216,165.7473297,14039600,310.0498352
10987120,542.8352417,11757536,318.9864807,14051120,37.73619843
10994432,0,11770944,132.2939758,14157120,300.0747681
11003728,11.97606754,11832880,113.2352295,14238224,0
11082144,0,11846768,304.8265991,14249040,665.7287598
11096112,46.89842377,11868464,0,14288832,490.8449402
11101760,318.2451141,11884928,472.9499207,14321360,204.1347961
11137296,307.176059,11906704,266.0957031,14332960,54.85922241
11171136,255.9811707,11921440,135.7491455,14358672,6.602870941
11198816,105.0648857,11946624,0,14400544,384.6621704
11207104,452.9666382,11994784,56.37620926,14415456,624.8103638
11220576,193.6391968,12033104,304.2372131,14436000,176.2910004
11227888,224.1885635,12051120,475.494873,14454528,589.8779907
11252000,108.134507,12080016,476.3718262,14516256,8.796267509
11320192,506.3999084,12088560,0,14559216,210.8470154
11338480,113.6370026,12109376,556.7540894,14655264,370.4694519
11384656,376.0983215,12110608,471.5181274,14713168,0
11410000,123.3276718,12162816,78.6869812,14727376,254.9958801
11470768,193.0017288,12167936,618.1506958,14757536,600.2689819
11494560,395.2683655,12198208,143.5312653,14764560,374.7205811
11513248,125.8058716,12262048,0,14804336,291.0207825
11546960,308.4291046,12327360,0,14850080,584.9517822
11555808,629.8937073,12333088,0,14864912,619.6749268
11563312,347.9713165,12343312,45.41794205,14887792,632.2177124
11622240,156.209436,12352896,413.4623108,14895232,801.7772217
11676928,538.4013245,12359968,102.5765762,14956528,103.4628754
11705120,546.0386353,12372128,482.8807678,14962896,115.8880137
11726384,317.5810181,12397936,701.5550537,15001104,533.3961508
11730128,0,12414032,405.1009216,15032944,485.7285814
11755808,321.3817657,12444784,588.7073364,15042496,460.0381713
11785984,338.9895264,12448656,0,15074336,601.0473646
11797936,648.8070557,12452304,385.8103943,15080704,288.9600452
11870464,4.49168601,12500352,574.206543,15112544,999.6165131
11977488,416.231488,12505440,142.7011719,15122096,842.7947031
12052176,0,12548576,302.1346436,15153936,585.3417821
12115104,196.6794296,12603424,557.465271,15160304,379.2603256
12120560,455.6385406,12625376,23.56546593,15192144,12.43333333
12150912,164.9620789,12659440,531.4411621,15201696,549.266801
12176544,0,12680272,0,15239904,424.073616
12185520,489.6062622,12681664,423.6826477,15271744,768.0627942
12201168,304.9788483,12690464,82.39757538,15281296,281.6154568
12223232,446.6248077,12691792,0,15313136,429.5584782
12262192,80.7284729,12734096,449.0211487,15319504,245.0289317
12281968,263.7256256,12778224,164.2145233,15351344,355.3927257
12296896,442.2403015,12787760,0,15360896,97.78454461
12306944,55.92396011,12803712,454.6358643,15392736,685.4951993
12352976,155.9871414,12871120,417.6940918,15399104,515.9614136
12361328,73.21685944,12894112,0,15430944,872.4048204
12370912,73.25052567,12957840,48.34921646,15478704,565.654891
12412928,496.3064941,12967824,433.2368774,15510544,767.4512605
12447152,9.521198273,12980400,285.2435303,15520096,372.4680975
12468992,402.9876343,13003216,526.5597534,15551936,374.4260959
12492128,21.80811882,13123328,0,15558304,527.8965284
12496976,209.2522522,13155600,0,15590144,407.6750098
12515088,0,13196560,350.9369812,15599696,247.5406507
12531520,18.86591492,13217984,501.9532471,15631536,394.5884784
12570864,93.45800171,13229840,0,15637904,446.2326231
12580880,0,13270784,512.8427734,15669744,13.23333333
12605440,0,13287696,463.5518799,15679296,652.3061497
12757392,0,13334016,400.7262573,15711136,213.0943984
12767648,5.517739534,13432928,539.3295898,15749344,363.994982
12770752,0,13489920,499.8482971,15758896,610.0751839
12818800,54.24735718,13516288,439.4537354,15790736,455.9519638
12826656,58.65846405,13535376,0,15797104,180.3994787
12844736,289.7697052,13559872,516.0030518,15828944,719.4389583
12876176,518.2363037,13572848,279.2362366,15838496,597.9388596
12880656,74.94539337,13604256,51.87645721,15870336,410.5091897
12881728,616.8582092,13607520,222.8387604,15876704,262.0056944
12949600,617.8984497,13617760,214.0179901,15908544,419.1552166
12981200,175.5028152,13644272,0,15918096,371.7177057
13030592,94.68056717,13665216,627.4100952,15956304,585.5064723
13132960,72.97711029,13668256,487.4906921,15988144,665.254189
13199104,320.8751862,13678784,419.6314392,15997696,554.5115198
13204400,228.0053925,13732656,0,16029536,574.9063369
13208032,495.1949524,13738256,248.5509338,16035904,294.1922706
13271792,71.49223938,13758272,38.30335999,16067744,313.7438989
13282352,11.73951645,13808784,66.72016144,16077296,87.38428386
13300560,143.2282928,13814688,437.936554,16109136,622.0085633
13310000,69.12163696,13845856,390.6413574,16115504,394.2130766
13315600,0,13876336,65.49409485,16147344,549.6810866
13325136,75.10531311,13903520,464.5050049,16156896,436.9168108
13363632,0,13910736,100.5250397,16188736,531.2185127
13377808,519.5779541,13933168,31.84755707,16195104,340.7328164
13444320,348.2093903,13934768,159.9469147,16236496,281.0462853
13468672,281.5535522,13954368,84.07151031,16268336,630.4473027
13501232,380.3049316,13964480,194.9839172,16274704,411.3952942
13511552,181.1463547,13987168,576.5144043,16306544,755.831357
13524576,436.2068848,13992144,464.4380798,16316096,574.2614968
13527600,0,14011424,582.2490234,16347936,473.4175156
13529216,361.0102753,14045376,138.630722,16354304,633.7139604
13541328,215.4108032,14046192,440.7568359,16386144,255.2246524
13565680,397.2552429,14052416,318.7379456,16395696,297.4953196
13585136,548.7168823,14096592,169.8006134,16427536,667.5052562
13596320,94.79078751,14106240,0,16465744,400.4110415
13602288,17.80176716,14113632,147.1895905,16475296,877.3049861
13653600,214.6300735,14152736,190.2038116,16507136,759.3020935
13670544,184.3392563,14168688,73.37832642,16513504,14.66666667
13675136,362.7859131,14196064,484.614624,16554896,27.345239
13692448,553.5711365,14204688,502.8486938,16586736,408.8865038
13699024,682.1823669,14230768,0,16593104,313.7305385
13705984,470.231488,14233392,79.82318878,16624944,561.7750265
13735664,551.1982544,14294064,302.7052307,16634496,602.5730258
13756224,507.3226501,14322112,536.5985718,16666336,588.0054191
13803520,26.91744976,14342224,162.3699493,16672704,516.2442325
13820448,346.6544678,14401984,362.5427246,16704544,671.6576321
13833168,393.8532715,14415264,248.3992767,16745936,398.720087
13835696,534.8743286,14420608,0,16752304,92.94320851
13864144,336.6419952,14460032,324.2743225,16784144,760.8663668
13908672,414.528717,14495136,500.2507935,16793696,581.9082267
14013632,267.3806946,14498688,138.8414154,16825536,499.2291086
14019632,96.02038422,14506144,389.1292114,16831904,368.5423132
14039536,24.56514988,14513248,679.9439087,16863744,15.23333333
14067840,373.7848206,14541104,519.9570923,16873296,1145.673153
14078064,0,14543952,14.90650368,16905136,369.2792934
14088800,446.9987,14551792,610.3844604,16911504,622.9554647
14100816,108.5670456,14619888,476.7734985,16952896,524.0748497
14186400,196.0266495,14712032,204.2624207,16984736,416.4609801
14194096,261.8504517,14732528,0,16991104,673.9897681
14205392,549.2430725,14782320,41.19878769,17022944,187.596129
14205408,230.6665283,14811184,326.1627808,17032496,263.3105362
14232544,15.82148666,14816224,108.3621445,17064336,535.6742778
14261696,0,14871136,26.45976067,17070704,345.7757122
14281024,26.76585045,14876608,25.12009621,17102544,93.70597621
14334752,76.49158173,14877312,117.4968033,17112096,1080.189399
14357920,665.5083069,14916256,529.0791626,17143936,693.1579648
14410256,130.3873077,14927200,531.6395264,17150304,588.9657479
14416768,100.2774422,14950112,295.8406372,17182144,483.5812675
14432448,441.1859711,15063856,74.68839264,17191696,421.8193812
14481120,265.9429688,15110432,0,17229904,867.361771
14508208,601.5461243,15176976,62.5561676,17261744,645.2035468
14514800,217.460289,15193424,89.38870239,17271296,513.077517
14515120,124.0196045,15199328,6.892095566,17303136,15.96666667
14570160,0,15232576,124.1150055,17309504,309.6880133
14595440,509.0090515,15247616,50.09923553,17341344,864.5413083
14600080,408.4334198,15335248,4.573477745,17350896,744.1329536
14657120,433.1132172,15344096,14.02240181,17382736,560.015549
14678592,485.7585754,15418960,493.170105,17389104,345.4924398
14710976,83.71647263,15435056,0,17420944,135.1456909
14732032,540.5740356,15476016,512.642395,17462336,775.3653508
14759424,484.1939575,15489152,160.0797424,17468704,639.4319707
14760592,565.4533447,15491232,100.1688843,17500544,599.6967919
14764704,578.4746155,15493072,237.0873718,17510096,106.0392261
14765008,479.4557739,15540544,373.3295288,17541936,300.1842979
14798032,488.8645752,15621040,0,17548304,683.5068609
14817104,450.3610931,15640480,19.55284882,17580144,213.6907091
14837888,292.0079224,15662528,427.0671692,17589696,594.2379134
14859920,488.1966614,15673440,132.852478,17627904,917.4980992
14889360,363.8242035,15685888,515.894104,17659744,316.2969877
14906880,258.4929749,15710448,155.9871368,17669296,731.8563022
14919024,268.5530457,15723088,114.6673508,17701136,559.7449629
14942736,408.9854553,15729824,269.6456604,17739344,248.4265585
14946000,13.92837582,15765840,422.2051697,17748896,310.8206657
14961520,210.0755539,15807808,23.74918938,17780736,891.5432797
15010512,153.8140045,15812384,92.38030243,17787104,160.0014059
15012944,20.43807392,15820528,344.2033997,17818944,483.0623812
15032336,562.0147339,15828112,138.6375275,17828496,326.1899846
15037840,278.853717,15828144,367.7745361,17860336,244.9672784
15058736,84.11702728,15862336,550.1136475,17866704,526.1901491
15058992,481.1365723,15916528,32.75024033,17898544,383.3423129
15117344,414.7055145,15931872,387.9611511,17908096,319.1160307
15187632,86.38371277,15961216,46.30646515,17946304,453.4831322
15194720,465.0216064,15978256,718.4921875,17978144,167.9655768
15204576,595.7947815,16025712,0,17987696,455.8065553
15210432,33.97124062,16076832,392.8799438,18019536,717.5630274
15267840,136.3581299,16089696,0,18025904,351.2326012
15294960,63.07288055,16094544,536.3984375,18057744,429.8316898
15307296,36.76085129,16229856,0,18067296,482.8158462
15327408,80.34068298,16259264,123.0001221,18099136,17.3
15447536,344.7302399,16262304,446.3371582,18105504,760.4759511
15471680,90.31198425,16286096,87.76689911,18137344,867.8824042
15514576,332.9460571,16304448,84.26396942,18146896,266.5870753
15517008,438.451062,16306624,458.7141113,18178736,578.7615681
15529776,372.9188232,16374144,0,18185104,423.7970367
15560320,0,16409472,430.4312134,18226496,646.7922327
15632096,482.8517029,16520144,0,18258336,244.0808458
15656304,303.8256958,16536960,167.883728,18264704,51.06850642
15688144,511.7225098,16555488,351.8811035,18296544,17.63333333
15702880,99.41458969,16580048,0,18306096,633.5104498
15717456,555.8798584,16595552,46.73168182,18337936,620.9399748
15722608,126.8306625,16627552,542.4735718,18344304,330.1530558
15735824,136.6090714,16635008,34.65495682,18376144,668.2098368
15773168,528.4008545,16652224,673.2839966,18385696,602.0805496
15796704,360.0437805,16679040,183.1057281,18417536,402.591685
15799328,0,16680096,579.2449341,18455744,385.1215043
15806864,0,16699360,300.8230591,18465296,560.689861
15822512,404.0957153,16816512,9.913471222,18497136,415.7117322
15844768,380.7657257,16862032,128.548645,18503504,361.5791504
