Wall time,Step,Value,,Metrics,Value,Rounded
1760615445,3822688,574.2262573,,,,
1760615569,3837148,478.1069031,,,,
1760615585,3840372,590.038269,,,,
1760615702,3853532,558.4724731,,,,
1760615720,3856772,612.2202148,,,,
1760615725,3857816,414.026886,,,,
1760615727,3858220,452.3627014,,,,
1760615893,3876332,537.3980103,,,,
1760615928,3882764,488.7472229,,,,
1760615985,3889384,546.9923706,,,,
1760616022,3892080,0,,,,
1760616030,3893576,519.4281006,,,,
1760616096,3901612,252.0126495,,,,
1760616111,3904384,557.2977905,,,,
1760616157,3908764,313.5963135,,,,
1760616173,3911688,624.2892456,,,,
1760616184,3913524,752.6174316,,,,
1760616236,3918852,568.6123047,,,,
1760616260,3923292,693.4324341,,,,
1760616330,3932052,732.6107178,,,,
1760616563,3959312,663.8926392,,,,
1760616629,3967220,663.8926392,,,,
1760616759,3983084,495.2876282,,,,
1760616853,3997048,623.6177368,,,,
1760616895,4000728,209.1745453,,,,
1760616959,4008416,404.1728516,,,,
1760617018,4014748,661.7359619,,,,
1760617029,4017004,824.6522827,,,,
1760617039,4018932,94.04629517,,,,
1760617149,4030616,323.6942444,,,,
1760617236,4042280,350.2308655,,,,
1760617258,4046168,676.1774292,,,,
1760617371,4058948,772.9025879,,,,
1760617372,4059144,349.1222534,,,,
1760617422,4063604,649.7130127,,,,
1760617447,4068264,615.100769,,,,
1760617496,4073252,361.3120422,,,,
1760617523,4078800,480.8434143,,,,
1760617630,4090016,269.6105042,,,,
1760617694,4097152,152.8252411,,,,
1760617717,4101492,591.6212158,,,,
1760617721,4102244,241.9051819,,,,
1760617732,4104088,201.0500793,,,,
1760617790,4110324,821.5440674,,,,
1760617844,4116004,288.4353027,,,,
1760617867,4119712,347.9713135,,,,
1760617911,4123744,643.0646362,,,,
1760617936,4128136,745.9807129,,,,
1760618051,4140332,610.1437378,,,,
1760618112,4147976,3.195554495,,,,
1760618118,4149000,22.75466347,,,,
1760618191,4158184,311.8196716,,,,
1760618209,4161304,630.4706421,,,,
1760618256,4165376,426.6253052,,,,
1760618265,4167068,611.3009644,,,,
1760618325,4173748,598.2416382,,,,
1760618513,4195376,688.0040894,,,,
1760618731,4222540,7.351734161,,,,
1760618872,4239720,508.0612488,,,,
1760618957,4251376,633.2064819,,,,
1760618994,4254084,334.5877991,,,,
1760619122,4269472,462.5385437,,,,
1760619123,4269664,0,,,,
1760619137,4272176,616.9371948,,,,
1760619191,4278596,849.5073853,,,,
1760619207,4281220,656.0206909,,,,
1760619292,4292364,640.5135498,,,,
1760619386,4301572,524.6474609,,,,
1760619387,4301712,584.5216064,,,,
1760619398,4303976,678.5440674,,,,
1760619455,4310444,510.4787292,,,,
1760619460,4311512,360.3526611,,,,
1760619549,4323824,90.74477386,,,,
1760619597,4328352,189.9843292,,,,
1760619620,4332604,732.9420776,,,,
1760619656,4335172,567.362793,,,,
1760619690,4341360,527.229248,,,,
1760619736,4345652,698.3008423,,,,
1760619746,4347624,643.9326782,,,,
1760619861,4360760,572.0423584,,,,
1760619885,4365240,525.5330811,,,,
1760619926,4369168,364.2211609,,,,
1760620014,4381136,33.65793991,,,,
1760620017,4381544,230.32724,,,,
1760620071,4387036,737.708252,,,,
1760620080,4388892,474.2909546,,,,
1760620335,4419044,710.2138062,,,,
1760620420,4430076,557.3859253,,,,
1760620479,4436672,468.5828857,,,,
1760620484,4437568,646.4050293,,,,
1760620552,4445496,730.722168,,,,
1760620554,4446028,549.1646118,,,,
